Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,98.199997,98.500000,96.459999,96.459999,91.663338,100285
2022-06-02,96.919998,98.199997,96.870003,98.050003,93.174263,33690
2022-06-03,98.440002,99.449997,97.650002,98.169998,93.288315,43598
2022-06-06,98.169998,99.430000,97.110001,98.440002,93.544884,49017
2022-06-07,98.440002,99.470001,98.070000,99.260002,94.324097,38642
2022-06-08,99.449997,99.459999,98.589996,99.000000,94.077026,28870
2022-06-09,99.000000,99.139999,98.000000,98.650002,93.744431,22834
2022-06-10,98.809998,98.809998,97.099998,97.300003,92.461571,29510
2022-06-13,97.300003,97.779999,95.500000,96.150002,91.368752,55775
2022-06-14,96.150002,97.940002,96.000000,97.430000,92.585114,31224
2022-06-15,97.430000,97.930000,96.709999,97.730003,92.870186,38888
2022-06-17,97.730003,97.949997,96.129997,96.900002,92.081467,35887
2022-06-20,96.370003,96.610001,96.010002,96.400002,92.251556,25635
2022-06-21,96.199997,96.970001,96.010002,96.680000,92.519493,26703
2022-06-22,96.199997,96.870003,96.199997,96.309998,92.165428,22561
2022-06-23,96.470001,96.800003,96.000000,96.199997,92.060143,26217
2022-06-24,96.199997,96.720001,94.870003,95.690002,91.572098,29692
2022-06-27,95.900002,96.199997,95.510002,95.739998,91.619949,25776
2022-06-28,95.750000,96.199997,94.910004,95.449997,91.342430,26559
2022-06-29,95.449997,95.580002,95.000000,95.040001,90.950073,26187
2022-06-30,94.889999,95.580002,94.519997,94.699997,90.624695,26947
2022-07-01,95.080002,95.080002,93.430000,94.120003,90.069664,56478
2022-07-04,94.339996,94.699997,91.900002,93.000000,88.997864,46248
2022-07-05,93.000000,93.690002,91.879997,92.370003,88.394981,34094
2022-07-06,92.639999,92.989998,91.500000,92.320000,88.347122,34352
2022-07-07,92.320000,92.690002,91.010002,91.500000,87.562416,38195
2022-07-08,91.599998,92.190002,91.419998,92.150002,88.184448,31116
2022-07-11,92.150002,94.540001,91.620003,92.699997,88.710770,32617
2022-07-12,92.250000,92.980003,92.209999,92.790001,88.796913,28979
2022-07-13,92.900002,93.790001,91.599998,92.639999,88.653366,31267
2022-07-14,92.629997,93.470001,92.010002,93.470001,89.447639,36057
2022-07-15,93.470001,94.230003,92.500000,93.199997,89.189247,30090
2022-07-18,93.199997,93.519997,92.610001,92.989998,88.988297,35108
2022-07-19,93.000000,93.290001,92.120003,92.980003,89.641663,26939
2022-07-20,92.980003,94.250000,92.800003,94.160004,90.779305,26360
2022-07-21,93.199997,95.000000,93.199997,94.949997,91.540932,22301
2022-07-22,95.000000,96.000000,94.760002,94.970001,91.560226,28039
2022-07-25,95.199997,96.059998,95.099998,95.900002,92.456833,30211
2022-07-26,96.000000,96.500000,95.050003,95.370003,91.945854,29499
2022-07-27,95.680000,95.699997,94.769997,94.949997,91.540932,23119
2022-07-28,94.930000,95.639999,94.529999,95.290001,91.868736,25275
2022-07-29,95.290001,95.650002,94.830002,95.629997,92.196518,24428
2022-08-01,95.629997,95.639999,91.970001,92.599998,89.275314,106117
2022-08-02,92.790001,93.480003,92.790001,93.389999,90.036949,37650
2022-08-03,93.389999,95.699997,93.389999,95.279999,91.859085,31643
2022-08-04,95.279999,96.000000,95.279999,96.000000,92.553230,40649
2022-08-05,96.000000,97.000000,96.000000,96.820000,93.343803,28063
2022-08-08,97.059998,99.000000,96.820000,99.000000,95.445526,33316
2022-08-09,98.980003,98.989998,98.050003,98.500000,94.963478,38087
2022-08-10,98.500000,99.610001,98.500000,99.260002,95.696205,29799
2022-08-11,99.400002,99.599998,99.000000,99.349998,95.782959,24447
2022-08-12,99.419998,99.809998,99.349998,99.589996,96.014336,29498
2022-08-15,99.690002,99.849998,99.400002,99.760002,96.178253,40582
2022-08-16,99.699997,99.989998,99.430000,99.660004,96.081833,45317
2022-08-17,99.699997,102.000000,99.699997,101.839996,98.183548,36583
2022-08-18,101.839996,105.000000,101.000000,103.199997,99.494728,45436
2022-08-19,103.199997,103.800003,102.230003,103.000000,99.977806,41210
2022-08-22,103.000000,103.839996,101.570000,102.989998,99.968102,38080
2022-08-23,102.989998,103.300003,101.639999,101.830002,98.842133,29007
2022-08-24,102.070000,103.000000,100.849998,102.269997,99.269226,29084
2022-08-25,102.269997,102.989998,100.900002,101.900002,98.910088,34331
2022-08-26,102.199997,102.400002,102.050003,102.300003,99.298347,27338
2022-08-29,102.300003,103.849998,102.000000,103.690002,100.647552,33284
2022-08-30,103.839996,104.099998,102.910004,104.000000,100.948471,35287
2022-08-31,103.000000,105.120003,102.919998,105.070000,101.987068,75342
2022-09-01,105.059998,105.089996,101.570000,102.599998,99.589539,82984
2022-09-02,102.639999,105.500000,102.639999,105.400002,102.307388,59905
2022-09-05,105.459999,106.839996,105.400002,105.650002,102.550041,29843
2022-09-06,105.650002,106.339996,104.430000,104.820000,101.744408,37843
2022-09-08,104.651009,105.886887,103.425102,103.853668,100.806419,40058
2022-09-09,103.853668,106.205826,103.634399,105.747353,102.644554,42201
2022-09-12,105.737389,107.142700,104.870277,107.142700,103.998947,48690
2022-09-13,106.146027,107.162636,105.508156,107.033066,103.892540,35417
2022-09-14,107.033066,107.033066,105.647690,105.647690,102.547813,35444
2022-09-15,105.647690,105.817123,105.159317,105.408485,102.315628,30508
2022-09-16,105.400002,106.000000,104.809998,104.870003,101.792946,30071
2022-09-19,104.139999,106.000000,103.699997,104.190002,101.841805,37788
